frame_id,relative_frame,timestamp_seconds,timestamp_hms,left_transit_lane_total,left_transit_lane_person,left_transit_lane_vat,rack_buffer_area_total,rack_buffer_area_person,rack_buffer_area_vat,machine_service_area_total,machine_service_area_person,machine_service_area_vat,front_vat_staging_total,front_vat_staging_person,front_vat_staging_vat,right_loading_area_total,right_loading_area_person,right_loading_area_vat
262,262,43.5,00:00:43,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
263,263,43.667,00:00:43,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
264,264,43.833,00:00:43,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
265,265,44.0,00:00:44,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
266,266,44.167,00:00:44,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
267,267,44.333,00:00:44,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
268,268,44.5,00:00:44,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
269,269,44.667,00:00:44,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
270,270,44.833,00:00:44,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
271,271,45.0,00:00:45,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
272,272,45.167,00:00:45,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
273,273,45.333,00:00:45,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
274,274,45.5,00:00:45,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
275,275,45.667,00:00:45,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
276,276,45.833,00:00:45,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
277,277,46.0,00:00:46,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
278,278,46.167,00:00:46,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
279,279,46.333,00:00:46,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
280,280,46.5,00:00:46,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
281,281,46.667,00:00:46,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
282,282,46.833,00:00:46,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
283,283,47.0,00:00:47,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
284,284,47.167,00:00:47,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
285,285,47.333,00:00:47,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
286,286,47.5,00:00:47,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
287,287,47.667,00:00:47,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
288,288,47.833,00:00:47,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
289,289,48.0,00:00:48,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0
